"%s has been added to your wishlist.","%s a fost adăugat la lista ta de favorite."

"The requested quantity is not available.","Cantitatea cerută nu este disponibilă."
"The minimum quantity allowed for purchase is ","Cantitatea minimum admisă de comandat este "
"The maximum quantity allowed for purchase is ","Cantitatea maximum admisă de comandat este "
"Update Cart","Updatează coşul"
"Empty Cart","Goleşte coşul"
"Are you sure you would like to remove all the items from the shopping cart?","Eşti sigur că vrei sa ştergi toate produsele din coşul de cumpărături?"
"Don\'t have an account yet? Click here to <a href="%s">create an account</a>.","Don\'t have an account yet? Click here to <a href="%s">create an account</a>."
"Go to Shopping Cart","Vizualizare coş"
"Go to Wishlist","Go to Wishlist"
"Select your options","Select your options"
"Hold your finger over a Product Image to drag it to the cart, it\'s FUN!","Hold your finger over a Product Image to drag it to the cart, it\'s FUN!"
"Best Selling Products","Best Selling Products"
"Popular Products","Popular Products"
