"%s was successfully added to your shopping cart.","%s a fost adăugat în coş."
"&laquo; Back to Billing Information","&laquo; înapoi la informaţii de facturare"
"&laquo; Back to Select Addresses","&laquo; înapoi la alegerea adreselor"
"&laquo; Back to Shopping Cart","&laquo; înapoi la coşul de cumpărături"
"* Required Fields","* câmpuri obligatorii"
"Add New Address","Adaugă adresa nouă"
"Add New Condition","Add New Condition"
"Add to Cart","Adaugă în coş"
"Add to Compare","Adaugă la comparaţie"
"Add to Wishlist","Adaugă la favorite"
"Address","Adresa"
"Address %s of %s","Adresa %s din %s"
"After adding a product redirect to shopping cart","Redirectionează spre coş dupş adşugarea unui produs"
"Allow Guest Checkout","Acceptă comenzi fără înregistrare"
"Already registered?","Eşti deja înregistrat?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Foloseste cupon"
"Are you sure you would like to remove this item from the shopping cart?","Esti sigur ca vrei sa stergi produsul din cos?"
"Back","Înapoi"
"Back to Shipping Information","Înapoi la informaţii de livrare"
"Based on your selection, you may be interested in the following items:","Le Createur iti mai recomanda:"
"Billing Address","Adresa de facturare"
"Billing Information","Informaţii de facturare"
"Billing Information - %s","Informaţii de facturare - %s"
"Can not add item to shopping cart","Nu se poate adăuga produsul în coş"
"Can not apply coupon code.","Nu se poate folosi cuponul."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Anulează cuponul"
"Cannot remove item","Nu se poate şterge articolul"
"Cannot update shopping cart","Nu se poate actualiza coşul"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Subtotal:"
"Change","Change"
"Change Billing Address","Modifică"
"Checkbox text","Checkbox text"
"Checkout","Finalizare comandă"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Opţiuni de achizitie"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Checkout fără înregistrare"
"Checkout as a Guest or Register","Poţi cumpăra fără înregistrare, sau cu înregistrare"
