"* Required Fields","* cmâpuri obligatorii"
"A new password was sent","Noua parolă a fost trimisă"
"Account Dashboard","Dashboard"
"Account Information","Informaţii cont"
"Account Sharing Options","Opţiuni partajare cont"
"Account information was successfully saved","Informaţiile de cont au fost salvate."
"Action","Actiune"
"Add New Address","Adugă o adresă"
"Add New Customer","Adaugă client"
"Add New Customer Group","Adaugă grup de clienţi"
"Added From","Adaugat din"
"Additional Address Entries","Intrări adrese suplimentare"
"Address","Adresa"
"Address Book","Adrese"
"Address Information","Informaţii adresă"
"Addresses","Adrese"
"Admin","Admin"
"All","Toate"
"All Store Views","Toate vitrinele magazinului"
"All countries","Toate ţările"
"Always optional","Always optional"
"Amount","Suma"
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Eşti sigur că vrei să ătergi acest articol?"
"Are you sure you want to cancel adding of this address?","Eşti sigur că vrei să anulezi adăugarea acestei adrese?"
"Are you sure you want to delete this address?","Eşti sigur cş vrei să ştergi aceasta adresa?"
"Are you sure?","Eşti sigur?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Aloca un grup de clienti"
"Average Sale","Vânzari medii"
"Back","Înapoi"
"Back to Login","Înapoi la login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Informaţii facturare"
"Bought From","Cumpărat de la"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","In urma inregistrarii pe <b>Createur.ro</b>, vei putea cumpara mai repede, iti vei putea adauga adrese multiple in agenda, vei putea urmari starea comenzilor, vei putea vedea comenzile mai vechi si multe altele."
"CSV","CSV"
"Can't save address","Eroare. Adresa nu poate fi salvată."
"Can't save customer","Eroare. Clientul nu poate fi salvat"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Anuleaza"
"Change Account Password","Schimbă parola contului tău"
"Change Billing Address","Modifică"
"Change Password","Schimbă parola"
"Change Shipping Address","Modifică"
"City","Oraş"
"Company","Firma"
"Config","Configuraţie"
"Confirm New Password","Confirmă noua parolă"
"Confirm Password","Confirmă parolă"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Informaţii de contact"
"Continue Shopping","Continua cumparaturile"
"Country","Tara"
"Create","Create"
"Create New Account Options","Optiuni creare cont nou"
"Create New Customer Account","Crează un cont nou"
"Create Order","Crează comanda"
"Create an Account","Crează un cont"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Parola actuala"
"Customer","Client"
"Customer Addresses","Adrese client"
"Customer Api","Customer Api"
"Customer Configuration","Configuratie client"
"Customer Group","Grup clienti"
"Customer Group was successfully deleted","Grup clienti sters."
"Customer Group was successfully saved","Grup clienti salvat."
"Customer Groups","Grupuri clienti"
"Customer Information","Informații clienti"
"Customer Login","Autentificare client"
"Customer Since","Client din"
"Customer View","Vizualizare client"
"Customer collection expected","Lipseste colectia de date clienti"
"Customer doesn't have primary billing address","Clientul nu are adresa principala de facturare"
"Customer email already exists","Exista deja adresa de email a clientului"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Clienti"
"Customers Only","Doar clientii"
"Customers Section","Customers Section"
"DD","DD"
"Date","Data"
"Date Added","Adşugat la data"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Zile la Favorite"
"Default Addresses","Adrese standard"
"Default Billing Address","Adresă standard de facturare"
"Default Email Domain","Domeniu de mail standard"
"Default Group","Grup standard"
"Default Shipping Address","Adresă standard de livrare"
"Default Welcome Email","Default Welcome Email"
"Delete","Sterge"
"Delete Address","Şterge"
"Delete Customer","Sterge client"
"Delete Customer Group","Sterge grup clienti"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Sterge magazine"
"Details","Detalii"
"Disabled","Dezactivează"
"Edit","Modifică"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Modifică informatiile contului"
"Edit Address","Modifică"
"Edit Address Entry","Modifică intrarea in adresa"
"Edit Customer Group ""%s""","Modifică grup clienti ""%s"""
"Edit Customer Groups","Modifică grupurile de clienti"
"Edit Customer's Address","Modifică adresa clientului"
"Edit Group","Modifică grup"
"Edit Newsletter Subscription","Modifică abonarile la newsletter"
"Edit Newsletters","Modifică newsletter-e"
"Edit Personal Information","Modifică informatiile personale"
"Email","E-mail"
"Email Address","E-mail"
"Email Sender","Expeditor e-mail"
"Entity collection is expected","Lipseste colectia de date entitate"
"Error during retrieval of option value: %s","Eroare la gasirea valorii optiunii: %s"
"Ext. Price","Pret ext."
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Prenume"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Expeditor email pt uituci"
"Forgot Email Template","Template email pt uituci"
"Forgot Your Password?","Ai uitat parola?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Contul tău este secţiunea în care poţi vizualiza şi edita informaţii despre: contul tău, newsletter şi adrese. Aici vei găsi istoricul tuturor comenzilor tale şi vei putea vizualiza statusul acestora."
"General Subscription","Abonare la newsletter"
"Global","Global"
"Go to Address Book","Mergi la Agendă"
"Grand Total","Total final"
"Grand Total: %s","Total final: %s"
"Group","Grup"
"Group ""%s"" can not be deleted","Grupul ""%s"" nu poate fi sters"
"Group Information","Informații grup"
"Group Name","Nume grup"
"Guest","Vizitator"
"HTML","HTML"
"Hello, %s!","Bine ai venit, %s!"
"ID","ID"
"IP Address","Adresa IP"
"If you have an account with us, please log in.","Daca ești deja inregistrat, te rugam sa te autentifici."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Parola actuala e gresita"
"Invalid customer data","Datele clientului sunt gresite"
"Invalid email address","Adresa de e-mail gresita"
"Invalid email address ""%s""","Adresa de e-mail nevalidă ""%s"""
"Invalid login or password.","Adresa de e-mail sau parolă nevalidă."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Last 5 Orders","Ultimele 5 comenzi"
"Last Activity","Ultima activitate"
"Last Name","Nume"
"Last Url","Ultimul Url"
"Last Viewed Items","Ultimele vizualizari"
"Last date subscribed","Ultima data la care s-a abonat"
"Last date unsubscribed","Ultima data la care s-a dezabonat"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Vânzari totale"
"Log In","Login"
"Log Out","Logout"
"Log in or Create an Account","Log in or Create an Account"
"Login","Login"
"Login Information","Informaţii autentificare"
"Login and password are required","Este necesar userul si parola"
"Login or Create an Account","Autentifica-te sau Crează un cont"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gestionează adresele"
"Manage Customers","Gestionează clientii"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Month","Month"
"My Account","Contul meu"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Detalii cont"
"My Orders","Comenzile mele"
"My Reviews","Parerile mele"
"My Tags","Etichetele mele"
"My Wishlist","Lista mea de favorite"
"Name","Nume"
"Name and Address Options","Name and Address Options"
"Never","Niciodata"
"New Address","Adresa noua"
"New Address Entry","Intrare noua la Adresa"
"New Customer","Client nou"
"New Customer Address","Adresa noua client"
"New Customer Group","Grup clienti nou"
"New Customer Groups","Grupuri clienti noi"
"New Customers","Client nou"
"New Group","Grup nou"
"New Password","Parolă nouă"
"New account","Cont nou"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Newsletter"
"Newsletter Finish","Final newsletter"
"Newsletter Information","Informaţii newsletter"
"Newsletter Received","Newsletter primit"
"Newsletter Start","Început newsletter"
"Newsletter Subscription","Abonare newsletter"
"Newsletters","Newsletter"
"No Items Found","Nici un articol gasit"
"No Newsletter Found","Nici un newsletter gasit"
"No item specified.","No item specified."
"No product collections found","No product collections found"
"Not Sent","Netrimis"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Clienţi online"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Order List...","Lista comenzi..."
"Order Total","Total comanda"
"Orders","Comenzi"
"PDF","PDF"
"Password","Parolă"
"Password Management","Gestionare parole"
"Password Options","Opţiuni parole"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parola trebuie sa aiba minim 6 caractere. Spatiile vor fi ignorate."
"Paused","In stand-by"
"Payment Method","Metoda de plată"
"Pending","în aşteptare"
"Per Website","Pe Website"
"Personal Information","Informaţii personale"
"Please enter your email below and we'll send you a new password.","Te rugăm să introduci adresa de e-mail şi îţi vom trimite o noua parolă."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Introdu adresa de e-mail."
"Please make sure your passwords match.","Parolele trebuie să fie aceleaşi."
"Please select","Alege"
"Please select region, state or province","Alege judeţul"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Pret"
"Primary Billing Address","Adresa principala de facturare"
"Primary Shipping Address","Adresa principala de livrare"
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea datelor, se anuleaza operatiunea. Eroare: %s"
"Product","Produs"
"Product ID","ID produs"
"Product Name","Nume produs"
"Product Reviews","Pareri produs"
"Product Tags","Etichete produs"
"Product name","Nume produs"
"Purchase On","Cumparat la"
"Purchased at","Cumparat la"
"Qty","Cant."
"Recent Orders","Comenzi recente"
"Records for ""","Inregistrari pentru """
"Refunded","Stornat"
"Registered Customers","Client existent"
"Remove","Sterge"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Resetează parola"
"SKU","Cod produs"
"Sales Statistics","Statistici vanzari"
"Save","Salvează"
"Save Address","Salvează adresa"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Salvează client"
"Save Customer Group","Salvează grup clienţi"
"Save Password","Salvează parola"
"Saved ","Salvat "
