" The customer doesn't exist in the system anymore"," Clientul nu mai există în sistem"
"""%s"" coupon code is not valid.","""%s"" : Codul nu este valid."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","Comanda lui %s a fost pusă pe aşteptare"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","Despre această comandă: "
"About Your Order","Despre comanda ta"
"Account Information","Informaţii cont"
"Action","Acţiune"
"Actions","Acţiuni"
"Add","Adaugă"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","Adaugă adresă nouă"
"Add Order Comments","Adaugă comentarii la comandă"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Adauga produsele selectate la comanda"
"Add To Order","Adaugă la comandă"
"Add Tracking Number","Adaugă AWB"
"Add a gift message for <strong>each gift item</strong>","Adaugă un mesaj pentru cadou <strong>fiecarui articol</strong>"
"Add a gift message for the <strong>entire order</strong>","Adaugă un mesaj pentru cadou <strong>intregii comenzi</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Adaugă în coş"
"Address","Adresa"
"Adjustment Fee","Taxa de re-stocare"
"Adjustment Fee:","Taxa de re-stocare:"
"Adjustment Refund","Stornare taxa re-stocare"
"Adjustment Refund:","Stornare re-stocare:"
"Allow Reorder","Acceptă re-comandă"
"Amount","Suma"
"Append Comments","Atasează comentarii"
"Apply","Aplică"
"Apply Coupon Code","Aplica cupon"
"Are you sure you want to cancel this order?","Eşti sigur că vrei să anulezi comanda?"
"Are you sure?","Eşti sigur?"
"Are you sure? This order will be cancelled and a new one will be created instead","Esti sigur? Comanda va fi anulata si una noua va fi creata in locul ei"
"Back to My Orders","Înapoi la comenzile mele"
"Backordered","Comandat la furnizor"
"Bill to First name","Prenume"
"Bill to Last name","Nume"
"Bill to Name","Nume"
"Billing Address","Adresa de confirmare"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Nu se poate adăuga istoric comenzi."
"Can not create block ""%s""","Nu se poate crea bloc ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","Nu se poate face livrare pentru comanda."
"Can not register existing creditmemo","Nu se poate inregistra prezenta stornare"
"Can not register existing invoice","Nu se poate inregistra prezenta confirmare"
"Can not register existing shipment","Nu se poate inregistra prezenta livrare"
"Can't get order instance","Can't get order instance"
"Cancel","Anulează"
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Canceled","Anulată"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","Capture"
"Capture Amount","Capture Amount"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Carrier","Curier"
"Change Status","Schimbă status"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","Ordinea de sortare a totalului de comenzi finalizate"
"Click to change shipping method","Click pt a schimba metoda de livrare"
"Closed","Închisă"
"Comment","Comentariu"
"Comment Text","Text comentariu"
"Comments","Comments"
"Comments History","Istoric comentarii"
"Complete","Finalizată"
"Country","Ţara"
"Coupons","Cupoane"
"Create","Crează"
"Create New Customer","Crează client nou"
"Create New Order","Crează comanda noua"
"Create New Order for %s","Creaza comanda pt %s"
"Create New Order for %s in %s","Creaza comanda pt %s in %s"
"Create New Order for New Customer","Creaza comanda noua pt client nou"
"Create New Order for New Customer in %s","Creaza comanda noua pt client nou in %s"
"Create Shipment","Creaza livrare"
"Create new invoice for order","Create new invoice for order"
"Create new shipment for order","Create new shipment for order"
"Created At","Creat la"
"Credit Memo","Stornare"
"Credit Memo #","Stornare #"
"Credit Memo # ","Stornare # "
"Credit Memo Comment Email Sender","Expeditor email comentarii stornare"
"Credit Memo Comment Email Template","Template email comentarii stornare"
"Credit Memo Comment Email Template for Guest","Template email comentarii stornare pt vizitator"
"Credit Memo Comments","Comentarii stornare"
"Credit Memo Email Sender","Expeditor email stornare"
"Credit Memo Email Template","Template email stornare"
"Credit Memo Email Template for Guest","Template email stornare pt vizitator"
"Credit Memo Update","Actualizare stornare"
"Credit Memo Update for Guest","Actualizare stornare pt vizitator"
"Credit Memo email not sent","Email de stornare netrimis."
"Credit Memo email sent","Email de stornare trimis"
"Credit Memos","Stornări"
"Creditmemo","Stornare"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Custom Value","Valoare custom"
"Customer","Customer"
"Customer Group","Grup clienti"
"Customer Name","Nume client"
"Customer's Current Activities","Customer's Current Activities"
"Date","Data"
